UserID,CourseID,Rating,Subject,Format,Difficulty
684,23,1,Science,Live Session,Medium
726,97,2,Literature,Live Session,Hard
475,105,5,Math,Quiz,Hard
743,132,2,Literature,Live Session,Medium
611,123,2,Literature,Live Session,Medium
807,105,3,Math,Quiz,Hard
937,89,2,Literature,Video,Hard
631,12,1,Programming,Text,Hard
380,98,3,Science,Live Session,Hard
974,6,1,Literature,Video,Hard
216,146,5,History,Text,Medium
895,158,5,History,Video,Medium
992,119,3,Science,Text,Easy
734,135,1,History,Text,Easy
65,91,1,Literature,Quiz,Hard
375,3,3,Math,Quiz,Easy
517,183,2,Math,Video,Easy
837,41,4,Literature,Video,Medium
186,80,3,Programming,Video,Easy
68,147,3,Programming,Video,Easy
834,56,4,Literature,Text,Hard
106,194,1,History,Quiz,Medium
469,50,4,Literature,Text,Hard
298,63,5,Literature,Text,Hard
313,129,4,History,Live Session,Hard
175,142,2,Literature,Live Session,Easy
989,16,5,Literature,Video,Easy
14,190,3,Programming,Video,Medium
345,178,2,Science,Text,Hard
957,140,4,Programming,Text,Easy
618,179,5,Science,Live Session,Medium
978,91,3,Literature,Quiz,Hard
591,184,3,Programming,Live Session,Medium
562,72,1,History,Text,Easy
862,126,3,History,Video,Easy
880,66,5,Programming,Video,Easy
688,138,5,Literature,Live Session,Easy
230,8,4,History,Live Session,Medium
585,148,4,History,Video,Easy
134,24,1,Literature,Video,Hard
299,80,2,Programming,Video,Easy
594,22,5,Literature,Live Session,Hard
817,114,4,Programming,Live Session,Medium
245,150,1,History,Live Session,Easy
667,105,2,Math,Quiz,Hard
968,63,3,Literature,Text,Hard
126,151,1,Math,Text,Easy
406,8,3,History,Live Session,Medium
99,197,3,Literature,Text,Medium
765,52,3,Science,Live Session,Medium
994,38,4,Math,Video,Medium
444,193,5,Math,Live Session,Easy
448,121,3,Math,Quiz,Hard
217,56,3,Literature,Text,Hard
192,143,5,Science,Live Session,Easy
203,105,4,Math,Quiz,Hard
772,109,2,Math,Video,Hard
88,164,4,Science,Quiz,Easy
569,62,4,Literature,Text,Easy
438,200,2,Programming,Quiz,Easy
844,156,2,Math,Live Session,Hard
813,20,1,Math,Live Session,Hard
465,123,5,Literature,Live Session,Medium
901,184,4,Programming,Live Session,Medium
285,74,5,Literature,Live Session,Easy
978,138,3,Literature,Live Session,Easy
786,43,3,Programming,Quiz,Medium
459,151,1,Math,Text,Easy
244,155,5,Science,Live Session,Hard
21,152,3,Programming,Live Session,Hard
950,34,4,Programming,Video,Easy
966,1,5,Math,Video,Medium
628,181,2,Science,Video,Medium
550,105,5,Math,Quiz,Hard
329,146,4,History,Text,Medium
101,17,5,Math,Live Session,Easy
